site,occ.1,occ.2,occ.3,occ.4,occ.5,occ.6,occ.7,occ.8,occ.9,occ.10,occ.11,occ.12,occ.13,dur.1,dur.2,dur.3,dur.4,dur.5,dur.6,dur.7,dur.8,dur.9,dur.10,dur.11,dur.12,dur.13,time.1,time.2,time.3,time.4,time.5,time.6,time.7,time.8,time.9,time.10,time.11,time.12,time.13,nobs.1,nobs.2,nobs.3,nobs.4,nobs.5,nobs.6,nobs.7,nobs.8,nobs.9,nobs.10,nobs.11,nobs.12,nobs.13,distRoad,jday.1,jday.2,jday.3,jday.4,jday.5,jday.6,jday.7,jday.8,jday.9,jday.10,jday.11,jday.12,jday.13,year.1,year.2,year.3,year.4,year.5,year.6,year.7,year.8,year.9,year.10,year.11,year.12,year.13,temp,precp,barren,crop,decBroad,mixed,evBroad,herb,shrub,elev,tpi,X,Y,species,resolution
567,0,0,0,0,0,0,0,0,0,0,0,0,0,90,45,90,180,60,270,180,180,135,10,52,60,89,21,14,17,11,10,8,14,8,9,12,11,17,7,2,2,5,4,1,3,7,10,2,1,1,1,1,2.628517866,304,48,262,292,255,309,345,339,306,291,286,293,317,1,2,3,4,5,6,7,8,9,10,11,12,13,14.61049843,4.036431789,3.730220318,23.58427238,0.506928623,8.29535675,6.333688259,19.24554634,35.07821655,426.1074219,-4.334414959,-1000.739558,-154.989323,RufousTailedHawk,15
568,0,0,0,NA,0,0,0,0,0,0,0,0,0,240,120,5,NA,90,1,180,31,13,5,180,2,235,14,15,15,NA,19,15,10,19,18,10,9,13,9,1,3,1,NA,2,1,1,1,1,1,1,1,1,2.623538733,288,310,52,NA,273,291,263,365,259,300,249,342,317,1,2,3,NA,5,6,7,8,9,10,11,12,13,12.99214172,9.319562912,1.008376837,20.87860489,0.513285100,10.13244724,2.45872879,19.75608253,44.18932724,1072.887085,1.928027272,-985.7395576,-154.989323,RufousTailedHawk,15
569,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,60,60,15,60,60,12,71,3,NA,NA,NA,NA,NA,11,19,18,7,17,10,18,7,NA,NA,NA,NA,NA,3,3,1,3,1,1,1,1,2.422328711,NA,NA,NA,NA,NA,43,301,337,335,264,342,283,286,NA,NA,NA,NA,NA,6,7,8,9,10,11,12,13,14.7186594,9.58234024,8.873120308,15.36566257,0.139373675,10.49080849,0.057615027,8.648284912,55.69906616,779.3848877,-1.678990364,-970.7395576,-154.989323,RufousTailedHawk,15
570,NA,0,0,0,NA,0,0,0,0,0,0,0,0,NA,160,30,40,NA,9,10,60,60,120,20,30,120,NA,17,18,18,NA,8,9,11,9,13,12,9,11,NA,2,1,2,NA,1,4,4,1,2,3,1,1,3.245815277,NA,266,288,306,NA,301,16,269,299,272,58,246,318,NA,2,3,4,NA,6,7,8,9,10,11,12,13,14.72357655,11.83122158,10.82930088,11.82397747,0.126808554,10.43349457,0.151797995,4.979613304,61.59101486,898.3500977,-5.327474117,-955.7395576,-154.989323,RufousTailedHawk,15
572,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.660746574,NA,355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.724024057,14.03298283,74.49569702,0,0.000000000,2.654371977,0,1.684939027,20.90199661,3404.652588,1.866652608,-925.7395576,-154.989323,RufousTailedHawk,15
574,0,NA,0,0,0,0,0,0,0,0,0,0,0,180,NA,60,180,259,60,60,60,20,33,30,42,31,17,NA,10,13,8,18,12,11,17,10,15,13,15,1,NA,1,2,2,1,1,1,3,1,1,1,1,2.348713875,283,NA,308,341,334,53,284,313,302,313,364,365,345,1,NA,3,4,5,6,7,8,9,10,11,12,13,14.3427124,4.285568237,1.523246169,6.228745461,0.590080023,8.75200367,13.68682003,4.570801735,15.18392754,134.376358,1.216396093,-1045.739558,-169.989323,RufousTailedHawk,15
575,NA,0,0,0,0,NA,0,0,0,0,0,0,0,NA,30,45,90,90,NA,100,1,30,6,3,25,24,NA,16,18,10,11,NA,10,16,18,15,12,8,17,NA,2,1,2,2,NA,3,1,2,1,1,1,1,3.582928896,NA,47,301,314,316,NA,351,245,356,307,304,280,327,NA,2,3,4,5,NA,7,8,9,10,11,12,13,14.23688889,4.775243759,4.577892303,16.73208809,3.598847866,10.85850525,25.44724655,13.20918179,19.78051376,351.4597473,0.812198818,-1030.739558,-169.989323,RufousTailedHawk,15
576,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,120,3,NA,NA,NA,NA,NA,66,210,79,6,140,80,10,14,NA,NA,NA,NA,NA,17,15,15,16,14,16,1,2,NA,NA,NA,NA,NA,1,1,1,1,1,2,3.055464983,313,49,NA,NA,NA,NA,NA,295,274,282,355,303,271,1,2,NA,NA,NA,NA,NA,8,9,10,11,12,13,14.52765656,5.255664825,3.292103291,27.32825661,1.777937531,7.801453114,8.119351387,23.55616951,26.7848053,366.4270935,1.689779162,-1015.739558,-169.989323,RufousTailedHawk,15
577,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,50,45,15,5,NA,84,180,90,7,NA,NA,NA,NA,13,14,12,18,NA,8,15,19,15,NA,NA,NA,NA,2,1,1,1,NA,2,3,1,2,2.413541794,NA,NA,NA,NA,270,31,305,300,NA,293,313,325,20,NA,NA,NA,NA,5,6,7,8,NA,10,11,12,13,13.49243259,7.538034439,1.810960054,22.27573204,1.320249677,8.998971939,5.181741714,23.7747879,35.90551758,761.4008789,1.135868073,-1000.739558,-169.989323,RufousTailedHawk,15
578,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,0,NA,NA,NA,180,NA,60,300,15,180,119,60,NA,30,NA,NA,NA,8,NA,17,9,17,10,4,22,NA,10,NA,NA,NA,3,NA,3,2,4,1,1,2,NA,1,4.336545467,NA,NA,NA,319,NA,274,295,336,272,353,249,NA,267,NA,NA,NA,4,NA,6,7,8,9,10,11,NA,13,12.00708294,10.43261051,2.19699502,18.17866898,0.331621677,8.396021843,2.221894503,19.74675941,47.08157349,1266.225586,5.666472435,-985.7395576,-169.989323,RufousTailedHawk,15
579,0,0,0,0,0,0,0,0,0,0,0,0,0,180,30,71,130,120,240,60,5,60,7,4,30,1,11,12,11,9,15,15,18,13,15,9,11,14,13,2,1,2,2,2,1,1,6,3,1,2,1,1,1.969741344,247,263,259,244,320,261,293,301,289,300,291,260,307,1,2,3,4,5,6,7,8,9,10,11,12,13,14.64904881,9.034412384,8.111585617,24.00824165,0.195240825,8.429690361,0.495657831,11.90392113,46.22472763,644.0953979,-1.660161614,-970.7395576,-169.989323,RufousTailedHawk,15
580,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,10,30,NA,NA,240,165,180,39,28,4,70,42,NA,11,14,NA,NA,7,13,9,13,8,9,9,12,NA,1,1,NA,NA,1,1,2,1,1,1,1,1,2.334280491,NA,274,294,NA,NA,24,255,295,251,321,269,359,246,NA,2,3,NA,NA,6,7,8,9,10,11,12,13,14.83177662,10.29877853,9.149284363,18.77328873,0.422187239,8.138852119,0.257551402,5.48720789,53.44447327,731.786499,-0.337473243,-955.7395576,-169.989323,RufousTailedHawk,15
581,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,9.470513344,NA,274,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,9.327232361,16.13874435,14.38481426,0.658822179,0.000000000,10.98681641,0,3.819433212,70.1590271,1950.828003,7.143322945,-940.7395576,-169.989323,RufousTailedHawk,15
583,0,0,0,0,0,0,0,0,0,0,0,0,0,80,120,90,35,120,300,60,40,61,2,10,8,177,9,16,15,17,17,10,19,15,17,18,9,19,15,6,1,4,1,3,1,2,2,1,1,1,1,2,2.348713875,55,247,253,13,296,260,346,274,298,359,257,312,275,1,2,3,4,5,6,7,8,9,10,11,12,13,14.3427124,4.285568237,1.523246169,6.228745461,0.590080023,8.75200367,13.68682003,4.570801735,15.18392754,134.376358,1.216396093,-1045.739558,-184.989323,RufousTailedHawk,15
584,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,30,30,15,8,1,26,23,50,56,NA,NA,NA,NA,18,11,14,16,11,15,19,7,15,NA,NA,NA,NA,2,2,2,1,2,1,1,1,1,2.562078238,NA,NA,NA,NA,21,39,40,349,279,263,285,282,359,NA,NA,NA,NA,5,6,7,8,9,10,11,12,13,14.38163376,6.426445961,4.782755852,25.27282715,2.223330021,6.426156044,13.54545879,23.98360634,22.11627197,347.8290405,1.689543366,-1030.739558,-184.989323,RufousTailedHawk,15
585,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,30,NA,NA,NA,60,NA,60,3,30,214,82,2,36,10,NA,NA,NA,15,NA,11,8,14,15,16,9,13,2,NA,NA,NA,3,NA,1,1,1,1,1,1,1,2.1564188,36,NA,NA,NA,258,NA,4,295,307,298,277,320,259,1,NA,NA,NA,5,NA,7,8,9,10,11,12,13,14.63185978,7.211272717,3.915317059,36.22882462,1.396163702,8.778004646,4.925845623,19.17474174,24.39549637,364.1972351,-1.783476233,-1015.739558,-184.989323,RufousTailedHawk,15
586,NA,NA,0,0,0,NA,NA,0,NA,0,0,0,0,NA,NA,120,240,180,NA,NA,15,NA,80,23,44,89,NA,NA,11,9,10,NA,NA,13,NA,18,19,16,10,NA,NA,2,1,3,NA,NA,2,NA,1,2,1,1,2.690861464,NA,NA,360,46,278,NA,NA,267,NA,320,37,283,338,NA,NA,3,4,5,NA,NA,8,NA,10,11,12,13,13.75824261,8.011407852,1.625527382,22.95037842,1.111513376,10.55030823,9.711918831,22.54566765,30.96222878,676.7006836,3.755732059,-1000.739558,-184.989323,RufousTailedHawk,15
587,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,5.916274548,NA,NA,NA,NA,NA,NA,NA,329,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9,NA,NA,NA,NA,13.01214314,9.716140747,2.204129696,14.42154694,0.107814528,9.493237495,7.544519901,20.71396828,42.73855209,986.4904175,-0.936851978,-985.7395576,-184.989323,RufousTailedHawk,15
588,0,0,0,0,0,0,0,0,0,0,0,0,0,180,30,30,120,5,39,10,80,15,15,9,5,148,17,10,11,15,1,11,17,13,0,8,10,9,16,1,1,4,2,1,4,2,1,1,1,1,1,1,2.922621489,28,263,274,328,298,327,296,319,300,304,255,276,259,1,2,3,4,5,6,7,8,9,10,11,12,13,14.38430214,7.797753334,2.830169201,35.5878334,0.066895574,9.122444153,0.468877614,14.59232712,36.91729355,632.9680176,-2.699998856,-970.7395576,-184.989323,RufousTailedHawk,15
589,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,90,90,210,180,13,16,120,11,5,31,NA,NA,NA,11,17,14,10,12,16,10,14,8,15,NA,NA,NA,1,2,1,1,1,1,2,1,1,1,2.447943211,NA,NA,NA,285,340,248,346,329,15,302,270,304,258,NA,NA,NA,4,5,6,7,8,9,10,11,12,13,14.93017864,7.413735867,3.604620934,34.5317421,0.171249449,5.179488182,0.120393924,6.220182419,36.02043533,567.2182617,-0.68495357,-955.7395576,-184.989323,RufousTailedHawk,15
