site,dummy,distRoad,occ,temp,precp,barren,crop,decBroad,mixed,evBroad,herb,shrub,elev,tpi,X,Y,species,resolution
31,0,6.724276543,0,14.04926682,0.002536761,92.22377777,0,0.000000000,0,0,0.183532581,7.598268032,1887.61499,2.496326685,-1000.739558,835.010677,RufousLeggedOwl,15
32,0,6.724276543,0,14.04926682,0.002536761,92.22377777,0,0.000000000,0,0,0.183532581,7.598268032,1887.61499,2.496326685,-985.7395576,835.010677,RufousLeggedOwl,15
33,0,1.743193626,0,16.46043777,0,68.04332733,0,0.000000000,0,0.032054752,1.371245265,21.99002075,620.8904419,-3.581789017,-1015.739558,820.010677,RufousLeggedOwl,15
34,1,5.689479828,0,13.84061527,0,90.04299164,0,0.000000000,0,0,0.014013969,9.955386162,1966.364868,4.754281044,-1000.739558,820.010677,RufousLeggedOwl,15
35,0,5.689479828,0,13.84061527,0,90.04299164,0,0.000000000,0,0,0.014013969,9.955386162,1966.364868,4.754281044,-985.7395576,820.010677,RufousLeggedOwl,15
36,1,3.980578184,0,14.07345963,0.009247823,84.94300842,0,0.000000000,0.028848188,0.020605849,0.556323826,13.58005428,1893.985718,5.917998791,-1015.739558,805.010677,RufousLeggedOwl,15
37,0,3.980578184,0,14.07345963,0.009247823,84.94300842,0,0.000000000,0.028848188,0.020605849,0.556323826,13.58005428,1893.985718,5.917998791,-1000.739558,805.010677,RufousLeggedOwl,15
38,0,3.980578184,0,14.07345963,0.009247823,84.94300842,0,0.000000000,0.028848188,0.020605849,0.556323826,13.58005428,1893.985718,5.917998791,-985.7395576,805.010677,RufousLeggedOwl,15
39,0,1.906112909,0,15.87709618,0.283661962,64.71529388,0.076417744,0.000000000,0.064859986,0.081264719,2.513795137,22.75406456,1127.022949,1.101144791,-1015.739558,790.010677,RufousLeggedOwl,15
40,1,1.906112909,0,15.87709618,0.283661962,64.71529388,0.076417744,0.000000000,0.064859986,0.081264719,2.513795137,22.75406456,1127.022949,1.101144791,-1000.739558,790.010677,RufousLeggedOwl,15
41,1,1.906112909,0,15.87709618,0.283661962,64.71529388,0.076417744,0.000000000,0.064859986,0.081264719,2.513795137,22.75406456,1127.022949,1.101144791,-985.7395576,790.010677,RufousLeggedOwl,15
42,1,1.658683181,0,16.79750824,0.486140341,34.39733124,0,0.000000000,0.17773135,0.248386115,1.299295187,34.32472992,526.8632202,-1.400738001,-1000.739558,775.010677,RufousLeggedOwl,15
43,0,1.903610826,0,15.91008663,0,89.85579681,0,0.000000000,0.769271731,0,0.069436565,9.306333542,1411.344971,1.751084685,-985.7395576,775.010677,RufousLeggedOwl,15
44,1,1.658683181,0,16.79750824,0.486140341,34.39733124,0,0.000000000,0.17773135,0.248386115,1.299295187,34.32472992,526.8632202,-1.400738001,-1000.739558,760.010677,RufousLeggedOwl,15
45,1,1.903610826,0,15.91008663,0,89.85579681,0,0.000000000,0.769271731,0,0.069436565,9.306333542,1411.344971,1.751084685,-985.7395576,760.010677,RufousLeggedOwl,15
46,0,1.807526231,0,11.23609447,5.829768181,98.55767059,0,0.000000000,0.372814178,0,0,1.073724627,3014.989502,0.457467824,-910.7395576,760.010677,RufousLeggedOwl,15
