"site","dummy","distRoad","occ","temp","precp","barren","crop","decBroad","mixed","evBroad","herb","shrub","elev","tpi","tri","X","Y","species","resolution"
1,1,2.38589262962341,0,17.6582164764404,0,95.6719741821289,0,0,0,0,0,3.93566679954529,254.338577270508,0.33232718706131,38.2729301452637,-1035.73955761392,1015.01067695222,"AustralPygmyOwl",25
2,1,2.38589262962341,0,17.6582164764404,0,95.6719741821289,0,0,0,0,0,3.93566679954529,254.338577270508,0.33232718706131,38.2729301452637,-1010.73955761392,1015.01067695222,"AustralPygmyOwl",25
3,0,2.38589262962341,0,17.6582164764404,0,95.6719741821289,0,0,0,0,0,3.93566679954529,254.338577270508,0.33232718706131,38.2729301452637,-1035.73955761392,990.01067695222,"AustralPygmyOwl",25
4,1,2.38589262962341,0,17.6582164764404,0,95.6719741821289,0,0,0,0,0,3.93566679954529,254.338577270508,0.33232718706131,38.2729301452637,-1010.73955761392,990.01067695222,"AustralPygmyOwl",25
5,1,3.71068453788757,0,17.0815143585205,0,89.8477630615234,0,0,0,0,0.0600577555596828,8.7285041809082,327.852783203125,-0.178714200854301,38.8556747436523,-1035.73955761392,965.01067695222,"AustralPygmyOwl",25
6,1,3.71068453788757,0,17.0815143585205,0,89.8477630615234,0,0,0,0,0.0600577555596828,8.7285041809082,327.852783203125,-0.178714200854301,38.8556747436523,-1010.73955761392,965.01067695222,"AustralPygmyOwl",25
7,0,3.71068453788757,0,17.0815143585205,0,89.8477630615234,0,0,0,0,0.0600577555596828,8.7285041809082,327.852783203125,-0.178714200854301,38.8556747436523,-1035.73955761392,940.01067695222,"AustralPygmyOwl",25
8,1,3.71068453788757,0,17.0815143585205,0,89.8477630615234,0,0,0,0,0.0600577555596828,8.7285041809082,327.852783203125,-0.178714200854301,38.8556747436523,-1010.73955761392,940.01067695222,"AustralPygmyOwl",25
9,1,12.5756006240845,0,16.7455596923828,0,71.0543823242188,0,0,0.0168949160724878,0.0149070657789707,0.42776283621788,7.25863075256348,422.468505859375,0.391794294118881,41.6272125244141,-1010.73955761392,915.01067695222,"AustralPygmyOwl",25
10,1,14.4582757949829,0,15.943076133728,0,68.0866165161133,0,0,0,0.051513560116291,0.761966466903687,15.7926778793335,825.162963867188,0.445141911506653,65.6243667602539,-1010.73955761392,890.01067695222,"AustralPygmyOwl",25
11,1,5.24464750289917,0,5.98337078094482,84.9054641723633,77.561637878418,0.128429055213928,0,1.5929297208786,0,1.15347969532013,19.2761001586914,4248.39501953125,-1.4661750793457,65.6803359985352,-635.73955761392,890.01067695222,"AustralPygmyOwl",25
12,0,9.04234981536865,0,4.27409696578979,101.615898132324,55.827579498291,0.0232549253851175,0,3.3071436882019,0,4.95346784591675,35.8690528869629,4578.50146484375,1.60076141357422,83.780158996582,-610.73955761392,890.01067695222,"AustralPygmyOwl",25
13,0,5.82550477981567,0,5.9064621925354,116.361236572266,36.4305801391602,0.0603297837078571,0,3.81913495063782,0,9.37136840820312,49.9862899780273,4264.08642578125,0.330769717693329,144.014022827148,-585.73955761392,890.01067695222,"AustralPygmyOwl",25
14,1,3.38625025749207,0,15.6339588165283,0,64.2940139770508,0,0,0.0837007910013199,0.0480610765516758,0.737341701984406,22.6664981842041,982.241394042969,0.345450878143311,72.2793807983398,-1010.73955761392,865.01067695222,"AustralPygmyOwl",25
15,0,3.38625025749207,0,15.6339588165283,0,64.2940139770508,0,0,0.0837007910013199,0.0480610765516758,0.737341701984406,22.6664981842041,982.241394042969,0.345450878143311,72.2793807983398,-985.73955761392,865.01067695222,"AustralPygmyOwl",25
16,1,5.24464750289917,0,5.98337078094482,84.9054641723633,77.561637878418,0.128429055213928,0,1.5929297208786,0,1.15347969532013,19.2761001586914,4248.39501953125,-1.4661750793457,65.6803359985352,-635.73955761392,865.01067695222,"AustralPygmyOwl",25
17,1,9.04234981536865,0,4.27409696578979,101.615898132324,55.827579498291,0.0232549253851175,0,3.3071436882019,0,4.95346784591675,35.8690528869629,4578.50146484375,1.60076141357422,83.780158996582,-610.73955761392,865.01067695222,"AustralPygmyOwl",25
18,1,5.82550477981567,0,5.9064621925354,116.361236572266,36.4305801391602,0.0603297837078571,0,3.81913495063782,0,9.37136840820312,49.9862899780273,4264.08642578125,0.330769717693329,144.014022827148,-585.73955761392,865.01067695222,"AustralPygmyOwl",25
19,0,4.85904121398926,0,15.4715709686279,0,80.2329177856445,0,0,0,0.00961642526090145,0.543916404247284,14.0735197067261,1159.32727050781,-1.74926340579987,77.3145523071289,-1010.73955761392,840.01067695222,"AustralPygmyOwl",25
20,0,4.85904121398926,0,15.4715709686279,0,80.2329177856445,0,0,0,0.00961642526090145,0.543916404247284,14.0735197067261,1159.32727050781,-1.74926340579987,77.3145523071289,-985.73955761392,840.01067695222,"AustralPygmyOwl",25
21,0,5.24464750289917,0,5.98337078094482,84.9054641723633,77.561637878418,0.128429055213928,0,1.5929297208786,0,1.15347969532013,19.2761001586914,4248.39501953125,-1.4661750793457,65.6803359985352,-635.73955761392,840.01067695222,"AustralPygmyOwl",25
22,0,5.28708219528198,0,3.84651756286621,106.223022460938,54.1215438842773,0.0641301572322845,0,2.69312405586243,0.0539284981787205,8.59339904785156,34.3022575378418,4629.1806640625,1.53149914741516,149.519073486328,-610.73955761392,840.01067695222,"AustralPygmyOwl",25
