"site","dummy","distRoad","occ","temp","precp","crop","evBroad","herb","shrub","tpi","tri","X","Y","species","resolution"
1,0,4.71684598922729,0,16.0423545837402,27.0806884765625,2.28249526023865,20.3152408599854,15.8288555145264,15.7503032684326,-8.66674900054932,135.81169128418,-1008.23955761392,-1652.48932304778,"StriatedCaracara",10
2,0,3.01769208908081,0,12.9975910186768,25.1198081970215,0.242575198411942,7.92322254180908,17.5076904296875,24.0320529937744,4.61076927185059,209.089111328125,-998.23955761392,-1652.48932304778,"StriatedCaracara",10
3,0,10.9632940292358,0,12.6339178085327,29.3124599456787,0.0422025732696056,3.38525438308716,16.5786991119385,27.3681564331055,0.587263405323029,164.636993408203,-988.23955761392,-1652.48932304778,"StriatedCaracara",10
4,0,10.9632940292358,0,12.6339178085327,29.3124599456787,0.0422025732696056,3.38525438308716,16.5786991119385,27.3681564331055,0.587263405323029,164.636993408203,-978.23955761392,-1652.48932304778,"StriatedCaracara",10
5,0,11.1842918395996,0,13.5048332214355,34.051570892334,1.32508218288422,3.53466987609863,18.104284286499,27.9439258575439,-0.407157897949219,170.010345458984,-968.23955761392,-1652.48932304778,"StriatedCaracara",10
6,0,2.81928014755249,0,15.9914417266846,41.666145324707,1.79068446159363,3.44904756546021,11.1945934295654,16.7024612426758,4.20404767990112,127.518089294434,-958.23955761392,-1652.48932304778,"StriatedCaracara",10
7,0,4.47830867767334,0,18.9110069274902,49.8357925415039,0.295548796653748,0.425648510456085,2.95894575119019,4.18561744689941,-7.69397354125977,18.620138168335,-948.23955761392,-1652.48932304778,"StriatedCaracara",10
8,0,4.47830867767334,0,18.9110069274902,49.8357925415039,0.295548796653748,0.425648510456085,2.95894575119019,4.18561744689941,-7.69397354125977,18.620138168335,-938.23955761392,-1652.48932304778,"StriatedCaracara",10
9,0,4.71684598922729,0,16.0423545837402,27.0806884765625,2.28249526023865,20.3152408599854,15.8288555145264,15.7503032684326,-8.66674900054932,135.81169128418,-1008.23955761392,-1662.48932304778,"StriatedCaracara",10
10,0,3.01769208908081,0,12.9975910186768,25.1198081970215,0.242575198411942,7.92322254180908,17.5076904296875,24.0320529937744,4.61076927185059,209.089111328125,-998.23955761392,-1662.48932304778,"StriatedCaracara",10
