site,occ.1,occ.2,occ.3,occ.4,occ.5,occ.6,occ.7,occ.8,occ.9,occ.10,occ.11,occ.12,occ.13,dur.1,dur.2,dur.3,dur.4,dur.5,dur.6,dur.7,dur.8,dur.9,dur.10,dur.11,dur.12,dur.13,time.1,time.2,time.3,time.4,time.5,time.6,time.7,time.8,time.9,time.10,time.11,time.12,time.13,nobs.1,nobs.2,nobs.3,nobs.4,nobs.5,nobs.6,nobs.7,nobs.8,nobs.9,nobs.10,nobs.11,nobs.12,nobs.13,distRoad,jday.1,jday.2,jday.3,jday.4,jday.5,jday.6,jday.7,jday.8,jday.9,jday.10,jday.11,jday.12,jday.13,year.1,year.2,year.3,year.4,year.5,year.6,year.7,year.8,year.9,year.10,year.11,year.12,year.13,precp,barren,crop,decBroad,mixed,evBroad,herb,shrub,elev,tpi,X,Y,species,resolution
1393,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,7.921094894,NA,NA,NA,NA,NA,NA,NA,NA,NA,314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,45.62613678,29.06896782,0.053827919,0.06765113,7.653645992,0,0.226088062,62.89186096,1016.960754,-0.513619483,-785.7395576,-609.989323,AustralPygmyOwl,25
1398,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,45,17,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,11,10,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,3,3.989285231,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,349,260,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,12,13,91.93508148,0.837630868,0.93114084,0,12.02334118,0,0,86.19599152,505.0202332,0.040489774,-660.7395576,-609.989323,AustralPygmyOwl,25
1401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10.74914074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,136.5198669,0.859507263,0.61256665,0,5.7674613,0,0.090891019,91.49993134,265.5672302,0.008931804,-585.7395576,-609.989323,AustralPygmyOwl,25
1404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3.448927879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,168.6425476,5.119843483,8.94590630196035e-06,0,4.741979599,0,0,90.13053894,267.4237366,-0.013766462,-510.7395576,-609.989323,AustralPygmyOwl,25
1406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2.82750988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,174.7702026,18.31890106,5.568752289,0.087059826,9.655632019,0,0.02260516,66.14234924,343.6387024,0.075672925,-460.7395576,-609.989323,AustralPygmyOwl,25
1409,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,25,NA,240,24,10,180,150,NA,NA,NA,NA,NA,NA,13,NA,8,17,20,11,16,NA,NA,NA,NA,NA,NA,2,NA,6,1,1,3,10,3.4282794,NA,NA,NA,NA,NA,NA,298,NA,279,292,24,283,280,NA,NA,NA,NA,NA,NA,7,NA,9,10,11,12,13,163.7872467,15.88354111,17.71371078,0.158643782,12.75944138,0,12.22189713,40.95970154,225.3814545,-0.051803216,-385.7395576,-609.989323,AustralPygmyOwl,25
1410,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,5,NA,NA,15,135,60,8,NA,NA,NA,NA,NA,NA,11,NA,NA,16,8,17,15,NA,NA,NA,NA,NA,NA,2,NA,NA,3,2,2,2,2.686422348,NA,NA,NA,NA,NA,NA,322,NA,NA,266,11,23,290,NA,NA,NA,NA,NA,NA,7,NA,NA,10,11,12,13,155.5613708,15.24825954,28.35723305,0.432045728,6.523230553,0.173265874,18.69769287,29.77758026,173.1800079,-0.182345763,-360.7395576,-609.989323,AustralPygmyOwl,25
1412,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,20,15,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,5.783341885,NA,NA,NA,NA,NA,NA,NA,NA,363,266,NA,NA,347,NA,NA,NA,NA,NA,NA,NA,NA,9,10,NA,NA,13,178.3639374,4.949155807,43.63637543,0.429253191,5.658905029,0.076007217,18.41652107,20.57971954,126.7650757,0.04520284,-310.7395576,-609.989323,AustralPygmyOwl,25
1415,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,120,120,120,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,11,11,11,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,3,3,8,NA,NA,NA,NA,3,2.887835503,NA,NA,NA,NA,NA,249,320,10,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,6,7,8,NA,NA,NA,NA,13,66.75913239,0.669105828,2.690941334,2.344066143,19.35965538,36.29615021,0.567051053,8.710442543,182.6367645,-0.084300146,-1160.739558,-634.989323,AustralPygmyOwl,25
1416,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,40,60,60,15,60,60,120,60,6,15,8,NA,NA,16,12,10,12,8,12,16,12,10,10,18,NA,NA,2,1,3,1,3,2,2,2,1,1,1,2.887835503,NA,NA,333,15,364,258,319,246,285,272,283,318,297,NA,NA,3,4,5,6,7,8,9,10,11,12,13,66.75913239,0.669105828,2.690941334,2.344066143,19.35965538,36.29615021,0.567051053,8.710442543,182.6367645,-0.084300146,-1135.739558,-634.989323,AustralPygmyOwl,25
