site,occ.1,occ.2,occ.3,occ.4,occ.5,occ.6,occ.7,occ.8,occ.9,occ.10,occ.11,occ.12,occ.13,dur.1,dur.2,dur.3,dur.4,dur.5,dur.6,dur.7,dur.8,dur.9,dur.10,dur.11,dur.12,dur.13,time.1,time.2,time.3,time.4,time.5,time.6,time.7,time.8,time.9,time.10,time.11,time.12,time.13,nobs.1,nobs.2,nobs.3,nobs.4,nobs.5,nobs.6,nobs.7,nobs.8,nobs.9,nobs.10,nobs.11,nobs.12,nobs.13,distRoad,jday.1,jday.2,jday.3,jday.4,jday.5,jday.6,jday.7,jday.8,jday.9,jday.10,jday.11,jday.12,jday.13,year.1,year.2,year.3,year.4,year.5,year.6,year.7,year.8,year.9,year.10,year.11,year.12,year.13,precp,barren,crop,decBroad,mixed,evBroad,herb,shrub,elev,tpi,X,Y,species,resolution
1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2.38589263,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,0,95.67197418,0,0,0,0,0,3.9356668,254.3385773,0.332327187,-1035.739558,1015.010677,AustralPygmyOwl,25
2,0,0,NA,0,0,0,0,0,0,0,0,0,0,60,30,NA,60,240,60,90,120,240,15,25,95,45,0,9,NA,7,8,15,8,17,14,11,15,17,18,3,2,NA,2,5,1,1,4,2,1,1,1,1,2.38589263,306,11,NA,36,6,268,344,291,332,286,347,250,278,1,2,NA,4,5,6,7,8,9,10,11,12,13,0,95.67197418,0,0,0,0,0,3.9356668,254.3385773,0.332327187,-1010.739558,1015.010677,AustralPygmyOwl,25
4,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,120,NA,230,150,NA,165,1,128,180,30,60,170,NA,6,NA,10,9,NA,14,6,9,7,0,11,15,NA,2,NA,1,2,NA,1,1,2,2,1,1,2,2.38589263,NA,344,NA,306,54,NA,252,21,279,301,289,244,310,NA,2,NA,4,5,NA,7,8,9,10,11,12,13,0,95.67197418,0,0,0,0,0,3.9356668,254.3385773,0.332327187,-1010.739558,990.010677,AustralPygmyOwl,25
5,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,NA,NA,NA,120,NA,195,NA,NA,30,120,120,180,180,NA,NA,NA,17,NA,9,NA,NA,15,7,11,8,8,NA,NA,NA,2,NA,10,NA,NA,2,2,2,2,2,3.710684538,NA,NA,NA,287,NA,304,NA,NA,277,364,8,336,299,NA,NA,NA,4,NA,6,NA,NA,9,10,11,12,13,0,89.84776306,0,0,0,0,0.060057756,8.728504181,327.8527832,-0.178714201,-1035.739558,965.010677,AustralPygmyOwl,25
6,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,30,10,150,195,180,220,275,65,150,65,NA,NA,NA,10,18,10,12,9,7,10,10,14,9,NA,NA,NA,2,1,9,6,2,2,1,1,1,1,3.710684538,NA,NA,NA,302,328,291,268,259,271,314,340,262,286,NA,NA,NA,4,5,6,7,8,9,10,11,12,13,0,89.84776306,0,0,0,0,0.060057756,8.728504181,327.8527832,-0.178714201,-1010.739558,965.010677,AustralPygmyOwl,25
8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,150,170,145,75,50,40,31,22,25,15,42,15,16,9,9,10,10,19,10,15,16,14,19,12,17,1,1,1,1,1,1,1,1,2,5,1,1,1,3.710684538,293,338,315,300,354,295,303,246,279,292,268,346,281,1,2,3,4,5,6,7,8,9,10,11,12,13,0,89.84776306,0,0,0,0,0.060057756,8.728504181,327.8527832,-0.178714201,-1010.739558,940.010677,AustralPygmyOwl,25
9,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,60,20,NA,30,75,15,12,16,NA,NA,NA,NA,NA,13,15,NA,14,13,12,11,13,NA,NA,NA,NA,NA,2,2,NA,1,1,1,1,1,12.57560062,NA,NA,NA,NA,NA,329,301,NA,252,342,286,8,29,NA,NA,NA,NA,NA,6,7,NA,9,10,11,12,13,0,71.05438232,0,0,0.016894916,0.014907066,0.427762836,7.258630753,422.4685059,0.391794294,-1010.739558,915.010677,AustralPygmyOwl,25
10,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,20,25,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,11,9,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,1,NA,14.45827579,NA,NA,NA,NA,325,40,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,5,6,NA,NA,NA,NA,NA,12,NA,0,68.08661652,0,0,0,0.05151356,0.761966467,15.79267788,825.1629639,0.445141912,-1010.739558,890.010677,AustralPygmyOwl,25
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,5.244647503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,13,84.90546417,77.56163788,0.128429055,0,1.592929721,0,1.153479695,19.27610016,4248.39502,-1.466175079,-635.7395576,890.010677,AustralPygmyOwl,25
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,28,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,17,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,3.386250257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,59,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,12,13,0,64.29401398,0,0,0.083700791,0.048061077,0.737341702,22.66649818,982.241394,0.345450878,-1010.739558,865.010677,AustralPygmyOwl,25
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,5.244647503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,13,84.90546417,77.56163788,0.128429055,0,1.592929721,0,1.153479695,19.27610016,4248.39502,-1.466175079,-635.7395576,865.010677,AustralPygmyOwl,25
17,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,5,20,NA,42,59,90,90,NA,NA,NA,NA,NA,NA,17,12,NA,9,11,13,9,NA,NA,NA,NA,NA,NA,3,3,NA,5,1,3,4,9.042349815,NA,NA,NA,NA,NA,NA,296,307,NA,292,326,282,281,NA,NA,NA,NA,NA,NA,7,8,NA,10,11,12,13,101.6158981,55.8275795,0.023254925,0,3.307143688,0,4.953467846,35.86905289,4578.501465,1.600761414,-610.7395576,865.010677,AustralPygmyOwl,25
18,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,60,NA,NA,60,NA,60,45,NA,NA,NA,NA,NA,NA,15,NA,NA,10,NA,10,14,NA,NA,NA,NA,NA,NA,10,NA,NA,3,NA,1,2,NA,NA,5.82550478,NA,NA,NA,NA,272,NA,NA,307,NA,348,36,NA,NA,NA,NA,NA,NA,5,NA,NA,8,NA,10,11,NA,NA,116.3612366,36.43058014,0.060329784,0,3.819134951,0,9.371368408,49.98628998,4264.086426,0.330769718,-585.7395576,865.010677,AustralPygmyOwl,25
23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5.82550478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,116.3612366,36.43058014,0.060329784,0,3.819134951,0,9.371368408,49.98628998,4264.086426,0.330769718,-585.7395576,840.010677,AustralPygmyOwl,25
24,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,3.920805454,NA,NA,NA,NA,249,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,8,NA,NA,NA,NA,NA,0.038358677,56.60544968,0,0,0.140979081,0.161718979,1.501831174,15.08563519,1057.02002,0.149195403,-1010.739558,815.010677,AustralPygmyOwl,25
25,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.920805454,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.038358677,56.60544968,0,0,0.140979081,0.161718979,1.501831174,15.08563519,1057.02002,0.149195403,-985.7395576,815.010677,AustralPygmyOwl,25
30,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,45,135,NA,NA,157,155,40,40,105,NA,NA,NA,NA,9,8,NA,NA,13,10,18,17,12,NA,NA,NA,NA,3,4,NA,NA,2,9,1,3,3,3.920805454,NA,NA,NA,NA,327,284,NA,NA,307,327,354,268,246,NA,NA,NA,NA,5,6,NA,NA,9,10,11,12,13,0.038358677,56.60544968,0,0,0.140979081,0.161718979,1.501831174,15.08563519,1057.02002,0.149195403,-1010.739558,790.010677,AustralPygmyOwl,25
31,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,300,205,NA,NA,NA,NA,120,165,240,NA,NA,NA,NA,11,9,NA,NA,NA,NA,8,15,9,NA,NA,NA,NA,1,4,NA,NA,NA,NA,2,1,2,1.97627306,NA,NA,NA,NA,10,31,NA,NA,NA,NA,21,282,288,NA,NA,NA,NA,5,6,NA,NA,NA,NA,11,12,13,0.054241803,82.42177582,0,0,0.772542834,0,0.449116796,15.9302721,1467.29248,2.11614418,-985.7395576,790.010677,AustralPygmyOwl,25
35,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,90,240,120,120,120,56,120,60,14,NA,NA,NA,NA,7,9,10,8,9,17,6,15,13,NA,NA,NA,NA,10,2,10,1,10,2,2,1,2,4.106954098,NA,NA,NA,NA,273,252,299,261,279,342,291,328,271,NA,NA,NA,NA,5,6,7,8,9,10,11,12,13,117.5413666,27.0478363,2.917752266,0,8.261286736,0,1.515197277,60.20264435,2710.500732,-1.753709197,-585.7395576,790.010677,AustralPygmyOwl,25
36,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,15,NA,5,90,60,71,57,NA,NA,NA,NA,NA,NA,16,NA,10,16,13,15,9,NA,NA,NA,NA,NA,NA,4,NA,1,2,2,3,1,4.176847458,NA,NA,NA,NA,NA,NA,40,NA,329,292,291,329,304,NA,NA,NA,NA,NA,NA,7,NA,9,10,11,12,13,136.9953156,19.69269371,2.187406778,0.414872855,8.028242111,0.912565053,5.362167358,63.43719482,2934.322021,-0.881184697,-560.7395576,790.010677,AustralPygmyOwl,25
37,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.97627306,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.054241803,82.42177582,0,0,0.772542834,0,0.449116796,15.9302721,1467.29248,2.11614418,-1010.739558,765.010677,AustralPygmyOwl,25
38,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,105,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,14,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,NA,1,NA,NA,NA,NA,NA,1.97627306,NA,NA,NA,NA,327,333,NA,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,NA,8,NA,NA,NA,NA,NA,0.054241803,82.42177582,0,0,0.772542834,0,0.449116796,15.9302721,1467.29248,2.11614418,-985.7395576,765.010677,AustralPygmyOwl,25
45,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,210,121,60,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,13,10,10,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,4.424304962,NA,NA,NA,NA,NA,NA,NA,301,NA,NA,46,14,9,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,11,12,13,97.09403229,21.32819939,1.975839019,0,9.612338066,0.054962672,7.461392403,59.52408218,2905.628418,-2.738566637,-610.7395576,765.010677,AustralPygmyOwl,25
46,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,NA,NA,NA,NA,NA,60,NA,30,NA,60,30,125,11,NA,NA,NA,NA,NA,12,NA,11,NA,11,11,14,15,NA,NA,NA,NA,NA,4,NA,1,NA,4,1,2,1,8.042700768,NA,NA,NA,NA,NA,339,NA,301,NA,286,47,36,303,NA,NA,NA,NA,NA,6,NA,8,NA,10,11,12,13,118.1212311,23.99611664,1.372816682,0,8.921303749,0,0.469906509,65.24378204,2640.264648,0.138504818,-585.7395576,765.010677,AustralPygmyOwl,25
47,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,10,30,90,90,30,15,90,NA,NA,NA,NA,NA,NA,17,11,6,12,12,16,15,NA,NA,NA,NA,NA,NA,4,1,5,2,2,1,3,4.176847458,NA,NA,NA,NA,NA,NA,40,282,281,303,291,328,281,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,136.9953156,19.69269371,2.187406778,0.414872855,8.028242111,0.912565053,5.362167358,63.43719482,2934.322021,-0.881184697,-560.7395576,765.010677,AustralPygmyOwl,25
49,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,60,NA,120,220,NA,25,150,30,120,20,40,35,NA,17,NA,18,9,NA,13,10,12,10,19,16,12,NA,1,NA,2,1,NA,1,1,2,1,1,1,2,2.101133823,NA,293,NA,23,333,NA,7,295,309,245,257,310,307,NA,2,NA,4,5,NA,7,8,9,10,11,12,13,0.035013482,76.75570679,0,0,0.40368107,0,0.414730668,20.44330788,1012.170044,-0.024627499,-1010.739558,740.010677,AustralPygmyOwl,25
50,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,45,NA,10,NA,63,NA,NA,9,NA,NA,NA,NA,NA,16,NA,10,NA,11,NA,NA,16,NA,NA,NA,NA,NA,3,NA,1,NA,2,NA,NA,2,NA,2.101133823,NA,NA,NA,NA,326,NA,42,NA,309,NA,NA,349,NA,NA,NA,NA,NA,5,NA,7,NA,9,NA,NA,12,NA,0.035013482,76.75570679,0,0,0.40368107,0,0.414730668,20.44330788,1012.170044,-0.024627499,-985.7395576,740.010677,AustralPygmyOwl,25
57,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,105,4,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,15,18,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,1,7.26523447,NA,NA,NA,NA,NA,NA,NA,NA,306,NA,NA,277,299,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,12,13,108.0135498,47.05594635,2.110994816,0,6.036839962,0,0.137680367,44.64474487,2317.204834,-1.41130805,-610.7395576,740.010677,AustralPygmyOwl,25
58,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,15,NA,4,NA,50,15,NA,NA,NA,NA,NA,NA,NA,16,NA,15,NA,8,19,NA,NA,NA,NA,NA,NA,NA,9,NA,1,NA,1,2,7.26523447,NA,NA,NA,NA,NA,NA,NA,285,NA,3,NA,282,49,NA,NA,NA,NA,NA,NA,NA,8,NA,10,NA,12,13,108.0135498,47.05594635,2.110994816,0,6.036839962,0,0.137680367,44.64474487,2317.204834,-1.41130805,-585.7395576,740.010677,AustralPygmyOwl,25
59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7.217817783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,133.1590729,33.06615067,0.534246147,0.061678525,6.780800819,0.178487912,3.660000086,55.71004486,2590.983398,0.753770053,-560.7395576,740.010677,AustralPygmyOwl,25
61,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,4.570724964,NA,NA,NA,NA,24,NA,NA,NA,258,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,9,NA,NA,NA,NA,0.061352957,70.49144745,0.014495612,0,0.095042713,0.078351542,0.309214175,12.34354019,258.3936462,-1.067002654,-1010.739558,715.010677,AustralPygmyOwl,25
62,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,2.875861645,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,257,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,11,NA,NA,0,87.91978455,0,0,0.062354293,0,0.036034208,11.95957661,908.4852905,0.778362095,-985.7395576,715.010677,AustralPygmyOwl,25
66,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,5.731472969,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,60.01115417,82.28890228,0.040916607,0,1.265313506,0,0.972955048,15.3642931,4501.760254,2.950141907,-710.7395576,715.010677,AustralPygmyOwl,25
71,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,105,NA,NA,NA,67,60,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,8,11,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,1,5.634364128,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,314,254,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,12,13,102.0841217,47.23868179,0.582079053,0,5.092512608,0,0.797614336,46.29127884,2342.473633,-0.835402846,-585.7395576,715.010677,AustralPygmyOwl,25
72,0,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,60,NA,NA,NA,NA,60,108,60,NA,NA,105,200,106,17,NA,NA,NA,NA,8,17,14,NA,NA,17,8,6,4,NA,NA,NA,NA,4,2,3,NA,NA,1,2,1,6.32536459,266,NA,NA,NA,NA,339,48,271,NA,NA,44,277,55,1,NA,NA,NA,NA,6,7,8,NA,NA,11,12,13,127.1692734,32.24894714,0.65827775,0.000529328,4.156446934,0.056835338,1.950251698,60.93918228,2167.632813,1.125391841,-560.7395576,715.010677,AustralPygmyOwl,25
73,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,60,10,5,15,7,60,NA,14,5,NA,NA,NA,NA,12,16,12,15,10,16,NA,11,16,NA,NA,NA,NA,1,2,1,9,4,2,NA,1,1,4.820438385,NA,NA,NA,NA,256,283,293,283,323,304,NA,291,258,NA,NA,NA,NA,5,6,7,8,9,10,NA,12,13,160.6388397,11.05857563,10.63523006,3.84813714,4.791710377,4.748866558,16.59254456,48.15581894,1976.818481,-0.743824303,-535.7395576,715.010677,AustralPygmyOwl,25
75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2.566661835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0,90.27755737,0,0,0.076907374,0,0.001251229,9.649573326,853.633728,-0.20792006,-985.7395576,690.010677,AustralPygmyOwl,25
81,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,4,NA,9.676156044,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,12,NA,68.24129486,88.93473053,0.027390236,0,0.93988657,0,0.905148745,9.051122665,4443.67627,0.971022248,-685.7395576,690.010677,AustralPygmyOwl,25
82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,10.60952663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,13,87.25428772,95.95024109,0.075771503,0,0.129184365,0,1.946969628,1.703025937,4940.573242,0.476590723,-660.7395576,690.010677,AustralPygmyOwl,25
84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5.634364128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,102.0841217,47.23868179,0.582079053,0,5.092512608,0,0.797614336,46.29127884,2342.473633,-0.835402846,-585.7395576,690.010677,AustralPygmyOwl,25
85,0,NA,NA,0,0,0,0,0,0,0,0,0,0,120,NA,NA,60,60,70,1,90,1,109,50,70,37,10,NA,NA,8,10,7,16,7,16,8,7,9,8,1,NA,NA,2,1,4,1,1,1,1,1,1,1,3.692277908,256,NA,NA,273,256,339,363,329,262,292,265,268,281,1,NA,NA,4,5,6,7,8,9,10,11,12,13,127.7465515,24.65980911,5.779150963,0.261761367,7.315721035,0.084602676,3.388072252,57.98568344,1774.620117,-2.402249336,-560.7395576,690.010677,AustralPygmyOwl,25
86,NA,NA,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,NA,120,NA,60,60,5,NA,NA,NA,35,87,45,NA,NA,6,NA,17,16,13,NA,NA,NA,17,10,6,NA,NA,1,NA,3,4,2,NA,NA,NA,1,1,1,4.820438385,NA,NA,269,NA,27,338,18,NA,NA,NA,259,326,293,NA,NA,3,NA,5,6,7,NA,NA,NA,11,12,13,160.6388397,11.05857563,10.63523006,3.84813714,4.791710377,4.748866558,16.59254456,48.15581894,1976.818481,-0.743824303,-535.7395576,690.010677,AustralPygmyOwl,25
87,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4.239058971,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,0.024500221,79.34897614,0,0,0.156246901,0.159533188,0.627941549,9.583143234,441.9281921,0.703006387,-1010.739558,665.010677,AustralPygmyOwl,25
89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6.164426804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,1.406667471,92.85827637,0,0,0.932351053,0,0.000402424,6.215269089,2152.986816,-0.690394938,-935.7395576,665.010677,AustralPygmyOwl,25
96,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,90,NA,NA,30,NA,NA,NA,62,60,NA,NA,NA,NA,12,NA,NA,10,NA,NA,NA,12,12,NA,NA,NA,NA,10,NA,NA,4,NA,NA,NA,3,3,3.888832808,NA,NA,NA,NA,286,NA,NA,52,NA,NA,NA,312,267,NA,NA,NA,NA,5,NA,NA,8,NA,NA,NA,12,13,83.28240967,94.33956909,0.013481341,0,0.348553628,0,0.867021739,4.299310207,4573.642578,-0.345327616,-660.7395576,665.010677,AustralPygmyOwl,25
100,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,90,NA,60,235,20,60,45,120,150,121,NA,NA,NA,6,NA,17,6,16,20,6,10,7,12,NA,NA,NA,2,NA,2,1,7,7,1,1,1,1,3.145140886,NA,NA,NA,273,NA,286,304,284,295,361,291,321,294,NA,NA,NA,4,NA,6,7,8,9,10,11,12,13,132.9408264,23.73025894,1.30834651,0.109758496,7.195307255,0.03595826,6.752934456,60.79655075,2020.034302,-1.463992119,-560.7395576,665.010677,AustralPygmyOwl,25
