"site","dummy","distRoad","occ","temp","precp","barren","crop","decBroad","mixed","herb","shrub","elev","tpi","tri","X","Y","species","resolution"
1,1,3.40597295761108,0,14.5345325469971,5.03169679641724,4.94483423233032,26.1998291015625,1.00902938842773,7.51112604141235,11.3144502639771,46.8430976867676,692.588806152344,-1.77692902088165,105.612525939941,-1003.23955761392,-137.48932304778,"WhiteTroatedCaracara",20
2,1,3.40597295761108,0,14.5345325469971,5.03169679641724,4.94483423233032,26.1998291015625,1.00902938842773,7.51112604141235,11.3144502639771,46.8430976867676,692.588806152344,-1.77692902088165,105.612525939941,-983.23955761392,-137.48932304778,"WhiteTroatedCaracara",20
3,1,2.95191812515259,0,14.4327764511108,10.9366264343262,9.37242603302002,14.4470653533936,0.104449488222599,10.5533113479614,3.76758313179016,60.2687797546387,1027.7451171875,1.70047724246979,94.8684539794922,-963.23955761392,-137.48932304778,"WhiteTroatedCaracara",20
4,0,10.5720539093018,0,9.87659931182861,15.7710628509521,19.6969337463379,0.864776909351349,0.00627399515360594,10.1739168167114,4.42140913009644,64.63037109375,1861.82946777344,-0.732836484909058,127.43611907959,-943.23955761392,-137.48932304778,"WhiteTroatedCaracara",20
5,0,2.69329047203064,0,14.454779624939,4.40160942077637,3.28324890136719,22.6059474945068,0.45226725935936,8.95801830291748,21.3699321746826,35.3911552429199,460.353332519531,-1.02667772769928,96.6897277832031,-1023.23955761392,-157.48932304778,"WhiteTroatedCaracara",20
6,1,2.69329047203064,0,14.454779624939,4.40160942077637,3.28324890136719,22.6059474945068,0.45226725935936,8.95801830291748,21.3699321746826,35.3911552429199,460.353332519531,-1.02667772769928,96.6897277832031,-1003.23955761392,-157.48932304778,"WhiteTroatedCaracara",20
7,1,2.43870186805725,0,13.239673614502,9.45937347412109,2.07903242111206,19.2707958221436,0.317575752735138,9.74859619140625,17.7374649047852,47.8352317810059,1024.68786621094,1.32490694522858,122.399284362793,-983.23955761392,-157.48932304778,"WhiteTroatedCaracara",20
8,1,10.5720539093018,0,9.87659931182861,15.7710628509521,19.6969337463379,0.864776909351349,0.00627399515360594,10.1739168167114,4.42140913009644,64.63037109375,1861.82946777344,-0.732836484909058,127.43611907959,-963.23955761392,-157.48932304778,"WhiteTroatedCaracara",20
9,1,10.5720539093018,0,9.87659931182861,15.7710628509521,19.6969337463379,0.864776909351349,0.00627399515360594,10.1739168167114,4.42140913009644,64.63037109375,1861.82946777344,-0.732836484909058,127.43611907959,-943.23955761392,-157.48932304778,"WhiteTroatedCaracara",20
10,0,2.69329047203064,0,14.454779624939,4.40160942077637,3.28324890136719,22.6059474945068,0.45226725935936,8.95801830291748,21.3699321746826,35.3911552429199,460.353332519531,-1.02667772769928,96.6897277832031,-1023.23955761392,-177.48932304778,"WhiteTroatedCaracara",20
11,1,4.63057994842529,0,12.7647933959961,9.99276065826416,2.42030572891235,16.360408782959,0.256955027580261,8.4003324508667,20.5811710357666,45.2717742919922,1070.10192871094,-0.330278158187866,151.669387817383,-1003.23955761392,-177.48932304778,"WhiteTroatedCaracara",20
12,1,4.63057994842529,0,12.7647933959961,9.99276065826416,2.42030572891235,16.360408782959,0.256955027580261,8.4003324508667,20.5811710357666,45.2717742919922,1070.10192871094,-0.330278158187866,151.669387817383,-983.23955761392,-177.48932304778,"WhiteTroatedCaracara",20
13,1,7.42057943344116,0,12.0522003173828,14.6282720565796,6.7084584236145,4.97106122970581,0.0639855787158012,11.5948724746704,6.06696557998657,69.075309753418,1400.84814453125,1.31971526145935,113.384246826172,-963.23955761392,-177.48932304778,"WhiteTroatedCaracara",20
14,1,7.42057943344116,0,12.0522003173828,14.6282720565796,6.7084584236145,4.97106122970581,0.0639855787158012,11.5948724746704,6.06696557998657,69.075309753418,1400.84814453125,1.31971526145935,113.384246826172,-943.23955761392,-177.48932304778,"WhiteTroatedCaracara",20
15,1,6.96293210983276,0,7.88713455200195,18.4845142364502,28.5636749267578,0.505823910236359,0,10.1017904281616,8.30448341369629,51.5602836608887,2220.65112304688,3.76166844367981,161.872467041016,-923.23955761392,-177.48932304778,"WhiteTroatedCaracara",20
16,1,5.37841987609863,0,3.56158375740051,20.2324237823486,58.5551567077637,0.0175836011767387,0,3.93625855445862,3.11075639724731,34.0578536987305,2857.01806640625,-3.95363545417786,254.436264038086,-903.23955761392,-177.48932304778,"WhiteTroatedCaracara",20
17,1,2.32764291763306,0,13.4568500518799,83.2735443115234,4.55289316177368,11.3392705917358,0.926465392112732,11.9161767959595,2.72300696372986,66.5558090209961,1199.22314453125,-0.825612664222717,18.7557849884033,-823.23955761392,-177.48932304778,"WhiteTroatedCaracara",20
18,0,2.32764291763306,0,13.4568500518799,83.2735443115234,4.55289316177368,11.3392705917358,0.926465392112732,11.9161767959595,2.72300696372986,66.5558090209961,1199.22314453125,-0.825612664222717,18.7557849884033,-803.23955761392,-177.48932304778,"WhiteTroatedCaracara",20
19,1,4.2048807144165,0,14.3305568695068,8.62335395812988,2.87973594665527,25.1317176818848,0.305698901414871,10.9408702850342,17.6188106536865,36.921875,659.569946289062,1.65297591686249,115.005805969238,-983.23955761392,-197.48932304778,"WhiteTroatedCaracara",20
20,1,2.86020851135254,0,14.386176109314,11.8031139373779,2.91189861297607,4.30047798156738,0.0720181539654732,4.34776163101196,5.36187028884888,30.5018177032471,842.481689453125,-3.04074716567993,66.6033554077148,-963.23955761392,-197.48932304778,"WhiteTroatedCaracara",20
21,1,2.86020851135254,0,14.386176109314,11.8031139373779,2.91189861297607,4.30047798156738,0.0720181539654732,4.34776163101196,5.36187028884888,30.5018177032471,842.481689453125,-3.04074716567993,66.6033554077148,-943.23955761392,-197.48932304778,"WhiteTroatedCaracara",20
