site,occ.1,occ.2,occ.3,occ.4,occ.5,occ.6,occ.7,occ.8,occ.9,occ.10,occ.11,occ.12,occ.13,dur.1,dur.2,dur.3,dur.4,dur.5,dur.6,dur.7,dur.8,dur.9,dur.10,dur.11,dur.12,dur.13,time.1,time.2,time.3,time.4,time.5,time.6,time.7,time.8,time.9,time.10,time.11,time.12,time.13,nobs.1,nobs.2,nobs.3,nobs.4,nobs.5,nobs.6,nobs.7,nobs.8,nobs.9,nobs.10,nobs.11,nobs.12,nobs.13,distRoad,jday.1,jday.2,jday.3,jday.4,jday.5,jday.6,jday.7,jday.8,jday.9,jday.10,jday.11,jday.12,jday.13,year.1,year.2,year.3,year.4,year.5,year.6,year.7,year.8,year.9,year.10,year.11,year.12,year.13,temp,precp,barren,crop,decBroad,mixed,herb,shrub,elev,tpi,tri,X,Y,species,resolution
1272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6.410459518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,12.28977871,40.10929108,9.757385254,0.032666352,0.019258099,10.27457142,0,79.93751526,169.4781647,-0.19345057,12.82093906,-443.2395576,-1397.489323,WhiteTroatedCaracara,20
1273,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,5,NA,35,10,NA,NA,180,NA,NA,NA,NA,NA,NA,13,NA,10,14,NA,NA,16,NA,NA,NA,NA,NA,NA,5,NA,1,4,NA,NA,4,NA,6.410459518,NA,NA,NA,NA,NA,13,NA,34,297,NA,NA,30,NA,NA,NA,NA,NA,NA,6,NA,8,9,NA,NA,12,NA,12.28977871,40.10929108,9.757385254,0.032666352,0.019258099,10.27457142,0,79.93751526,169.4781647,-0.19345057,12.82093906,-423.2395576,-1397.489323,WhiteTroatedCaracara,20
1278,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,48.56694412,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,280,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,12,NA,8.535399437,453.8057556,0,2.855832338,0.229703248,42.39367294,1.899016261,7.546724319,279.2330017,0.806867719,119.9044495,-1083.239558,-1417.489323,WhiteTroatedCaracara,20
1279,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,20,100,NA,NA,NA,30,NA,68,NA,NA,NA,NA,NA,7,19,NA,NA,NA,11,NA,6,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,2,NA,48.56694412,NA,NA,NA,NA,276,42,NA,NA,NA,269,NA,342,NA,NA,NA,NA,NA,5,6,NA,NA,NA,10,NA,12,NA,8.535399437,453.8057556,0,2.855832338,0.229703248,42.39367294,1.899016261,7.546724319,279.2330017,0.806867719,119.9044495,-1063.239558,-1417.489323,WhiteTroatedCaracara,20
1281,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,18.16866684,NA,31,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,6.313576698,323.6166687,0.775812864,6.642869949,1.935304046,43.9277916,3.514158726,7.242174625,796.5909424,0.673288107,137.377655,-1023.239558,-1417.489323,WhiteTroatedCaracara,20
1282,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,7.839319706,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,13,6.9545784,290.6060486,1.681420088,4.187475681,2.875718117,41.90629578,7.425140858,11.35279083,693.6843262,-0.328671277,192.9777069,-1003.239558,-1417.489323,WhiteTroatedCaracara,20
1283,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,16.17126083,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,6.388927937,228.8607635,3.469338655,3.557270765,2.165285587,42.48744202,9.288700104,14.24534035,843.1542358,-0.036488257,200.2780609,-983.2395576,-1417.489323,WhiteTroatedCaracara,20
1284,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,8.468362808,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,6.949575901,177.0034943,1.661668181,5.347233295,4.870513916,39.27630997,6.678951263,9.858133316,791.5299072,-0.870166957,151.174408,-963.2395576,-1417.489323,WhiteTroatedCaracara,20
1285,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,5.669448853,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,13,7.501877785,123.6467896,3.583892822,4.667713165,12.55933952,30.87810135,12.31660271,8.75056839,739.4211426,-0.741470397,65.84262848,-943.2395576,-1417.489323,WhiteTroatedCaracara,20
1286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3.709641933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,7.823092937,82.69791412,18.25586319,6.022611618,3.724530697,21.387537,19.4389286,27.19755745,743.5594482,-1.292891622,33.1268158,-923.2395576,-1417.489323,WhiteTroatedCaracara,20
