site,occ.1,occ.2,occ.3,occ.4,occ.5,occ.6,occ.7,occ.8,occ.9,occ.10,occ.11,occ.12,occ.13,dur.1,dur.2,dur.3,dur.4,dur.5,dur.6,dur.7,dur.8,dur.9,dur.10,dur.11,dur.12,dur.13,time.1,time.2,time.3,time.4,time.5,time.6,time.7,time.8,time.9,time.10,time.11,time.12,time.13,nobs.1,nobs.2,nobs.3,nobs.4,nobs.5,nobs.6,nobs.7,nobs.8,nobs.9,nobs.10,nobs.11,nobs.12,nobs.13,distRoad,jday.1,jday.2,jday.3,jday.4,jday.5,jday.6,jday.7,jday.8,jday.9,jday.10,jday.11,jday.12,jday.13,year.1,year.2,year.3,year.4,year.5,year.6,year.7,year.8,year.9,year.10,year.11,year.12,year.13,temp,precp,barren,crop,decBroad,mixed,herb,shrub,elev,tpi,tri,X,Y,species,resolution
1,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,60,NA,NA,30,NA,291,NA,60,180,NA,NA,NA,NA,13,NA,NA,8,NA,9,NA,11,7,NA,NA,NA,NA,4,NA,NA,4,NA,5,NA,1,1,3.405972958,NA,NA,NA,NA,3,NA,NA,342,NA,312,NA,41,36,NA,NA,NA,NA,5,NA,NA,8,NA,10,NA,12,13,14.53453255,5.031696796,4.944834232,26.1998291,1.009029388,7.511126041,11.31445026,46.84309769,692.5888062,-1.776929021,105.6125259,-1003.239558,-137.489323,WhiteTroatedCaracara,20
2,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,180,60,240,180,300,90,120,240,90,120,90,38,NA,8,11,8,9,11,10,11,8,9,10,15,15,NA,4,3,4,10,3,2,8,4,4,1,2,1,3.405972958,NA,309,266,307,320,319,254,328,344,364,246,331,251,NA,2,3,4,5,6,7,8,9,10,11,12,13,14.53453255,5.031696796,4.944834232,26.1998291,1.009029388,7.511126041,11.31445026,46.84309769,692.5888062,-1.776929021,105.6125259,-983.2395576,-137.489323,WhiteTroatedCaracara,20
3,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,60,93,60,90,218,104,240,12,16,25,NA,NA,NA,10,10,12,12,14,16,16,11,10,9,NA,NA,NA,2,2,1,4,2,1,4,1,1,1,2.951918125,NA,NA,NA,293,304,304,297,266,286,277,280,253,295,NA,NA,NA,4,5,6,7,8,9,10,11,12,13,14.43277645,10.93662643,9.372426033,14.44706535,0.104449488,10.55331135,3.767583132,60.26877975,1027.745117,1.700477242,94.86845398,-963.2395576,-137.489323,WhiteTroatedCaracara,20
6,0,0,0,0,0,0,0,0,0,0,0,0,0,90,45,90,180,60,270,180,5,150,10,150,40,76,21,14,17,11,10,8,14,16,15,12,9,7,12,2,2,5,4,1,3,1,4,2,1,1,1,1,2.693290472,304,48,262,292,255,309,304,282,273,291,304,299,245,1,2,3,4,5,6,7,8,9,10,11,12,13,14.45477962,4.401609421,3.283248901,22.60594749,0.452267259,8.958018303,21.36993217,35.39115524,460.3533325,-1.026677728,96.68972778,-1003.239558,-157.489323,WhiteTroatedCaracara,20
7,0,0,0,NA,0,0,0,0,0,0,0,0,0,240,120,5,NA,90,1,180,31,13,5,180,2,235,14,15,15,NA,19,15,10,19,18,10,9,13,9,1,3,1,NA,2,1,1,1,1,1,1,1,1,2.438701868,288,310,52,NA,273,291,263,365,259,300,249,342,317,1,2,3,NA,5,6,7,8,9,10,11,12,13,13.23967361,9.459373474,2.079032421,19.27079582,0.317575753,9.748596191,17.7374649,47.83523178,1024.687866,1.324906945,122.3992844,-983.2395576,-157.489323,WhiteTroatedCaracara,20
8,NA,0,0,0,NA,0,0,0,0,0,0,0,0,NA,160,30,40,NA,22,10,60,60,120,20,30,3,NA,17,18,18,NA,9,9,11,9,13,12,9,7,NA,2,1,2,NA,1,4,4,1,2,3,1,1,10.57205391,NA,266,288,306,NA,279,16,269,299,272,58,246,286,NA,2,3,4,NA,6,7,8,9,10,11,12,13,9.876599312,15.77106285,19.69693375,0.864776909,0.006273995,10.17391682,4.42140913,64.63037109,1861.829468,-0.732836485,127.4361191,-963.2395576,-157.489323,WhiteTroatedCaracara,20
9,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10.57205391,NA,NA,NA,NA,NA,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,9.876599312,15.77106285,19.69693375,0.864776909,0.006273995,10.17391682,4.42140913,64.63037109,1861.829468,-0.732836485,127.4361191,-943.2395576,-157.489323,WhiteTroatedCaracara,20
11,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,50,NA,15,270,NA,84,NA,10,NA,NA,NA,NA,NA,13,NA,12,17,NA,8,NA,0,NA,NA,NA,NA,NA,2,NA,1,1,NA,2,NA,1,NA,4.630579948,NA,NA,NA,NA,270,NA,305,314,NA,293,NA,339,NA,NA,NA,NA,NA,5,NA,7,8,NA,10,NA,12,NA,12.7647934,9.992760658,2.420305729,16.36040878,0.256955028,8.400332451,20.58117104,45.27177429,1070.101929,-0.330278158,151.6693878,-1003.239558,-177.489323,WhiteTroatedCaracara,20
12,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,180,240,20,300,10,180,119,7,3,30,NA,NA,NA,8,8,17,9,3,10,4,8,10,10,NA,NA,NA,3,2,6,2,1,1,1,1,1,1,4.630579948,NA,NA,NA,319,298,31,295,318,272,353,352,13,267,NA,NA,NA,4,5,6,7,8,9,10,11,12,13,12.7647934,9.992760658,2.420305729,16.36040878,0.256955028,8.400332451,20.58117104,45.27177429,1070.101929,-0.330278158,151.6693878,-983.2395576,-177.489323,WhiteTroatedCaracara,20
13,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,NA,5,NA,90,NA,240,NA,300,10,NA,10,30,57,NA,13,NA,11,NA,7,NA,14,12,NA,17,17,11,NA,1,NA,1,NA,1,NA,8,1,NA,1,2,1,7.420579433,NA,274,NA,285,NA,24,NA,301,305,NA,288,318,359,NA,2,NA,4,NA,6,NA,8,9,NA,11,12,13,12.05220032,14.62827206,6.708458424,4.97106123,0.063985579,11.59487247,6.06696558,69.07530975,1400.848145,1.319715261,113.3842468,-963.2395576,-177.489323,WhiteTroatedCaracara,20
14,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,240,180,60,10,60,300,15,30,45,15,120,183,NA,10,13,18,8,17,16,19,12,16,16,8,9,NA,2,4,1,2,2,2,1,4,2,1,1,1,7.420579433,NA,337,260,361,41,248,337,304,306,300,333,262,304,NA,2,3,4,5,6,7,8,9,10,11,12,13,12.05220032,14.62827206,6.708458424,4.97106123,0.063985579,11.59487247,6.06696558,69.07530975,1400.848145,1.319715261,113.3842468,-943.2395576,-177.489323,WhiteTroatedCaracara,20
15,0,0,0,0,0,0,0,0,0,0,0,0,0,40,25,90,180,60,60,90,12,145,300,30,20,42,11,14,12,9,12,0,11,17,12,10,16,11,8,3,3,1,1,3,1,3,1,1,3,2,1,2,6.96293211,304,322,245,286,298,277,365,365,361,292,286,296,315,1,2,3,4,5,6,7,8,9,10,11,12,13,7.887134552,18.48451424,28.56367493,0.50582391,0,10.10179043,8.304483414,51.56028366,2220.651123,3.761668444,161.872467,-923.2395576,-177.489323,WhiteTroatedCaracara,20
16,NA,0,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,300,NA,120,240,NA,1,NA,NA,NA,60,NA,NA,NA,9,NA,12,9,NA,20,NA,NA,NA,15,NA,NA,NA,1,NA,1,1,NA,3,NA,NA,NA,3,NA,NA,5.378419876,NA,303,NA,294,319,NA,318,NA,NA,NA,282,NA,NA,NA,2,NA,4,5,NA,7,NA,NA,NA,11,NA,NA,3.561583757,20.23242378,58.55515671,0.017583601,0,3.936258554,3.110756397,34.0578537,2857.018066,-3.953635454,254.436264,-903.2395576,-177.489323,WhiteTroatedCaracara,20
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.327642918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13.45685005,83.27354431,4.552893162,11.33927059,0.926465392,11.9161768,2.723006964,66.55580902,1199.223145,-0.825612664,18.75578499,-823.2395576,-177.489323,WhiteTroatedCaracara,20
19,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,60,NA,NA,NA,NA,NA,3,120,47,65,158,NA,NA,8,NA,NA,NA,NA,NA,17,7,13,16,12,NA,NA,2,NA,NA,NA,NA,NA,1,2,2,1,1,4.204880714,NA,NA,39,NA,NA,NA,NA,NA,287,364,19,269,281,NA,NA,3,NA,NA,NA,NA,NA,9,10,11,12,13,14.33055687,8.623353958,2.879735947,25.13171768,0.305698901,10.94087029,17.61881065,36.921875,659.5699463,1.652975917,115.005806,-983.2395576,-197.489323,WhiteTroatedCaracara,20
20,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,60,10,300,10,6,40,1,NA,NA,NA,NA,NA,NA,13,11,9,11,19,15,12,NA,NA,NA,NA,NA,NA,1,1,6,1,1,1,1,2.860208511,NA,NA,NA,NA,NA,NA,263,356,262,291,320,287,307,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,14.38617611,11.80311394,2.911898613,4.300477982,0.072018154,4.347761631,5.361870289,30.5018177,842.4816895,-3.040747166,66.60335541,-963.2395576,-197.489323,WhiteTroatedCaracara,20
21,0,0,0,0,0,0,0,0,0,0,0,0,0,30,120,40,30,60,10,15,4,300,16,94,6,2,9,8,2,9,7,9,16,13,12,11,18,19,13,1,3,1,1,1,2,1,1,1,1,1,1,1,2.860208511,270,271,255,276,287,295,297,332,315,284,337,335,352,1,2,3,4,5,6,7,8,9,10,11,12,13,14.38617611,11.80311394,2.911898613,4.300477982,0.072018154,4.347761631,5.361870289,30.5018177,842.4816895,-3.040747166,66.60335541,-943.2395576,-197.489323,WhiteTroatedCaracara,20
22,0,0,0,0,0,0,0,0,0,0,0,0,0,80,40,180,300,180,300,60,120,13,49,120,108,60,12,13,12,10,9,8,13,11,10,13,8,9,17,3,3,1,6,3,2,3,1,1,1,1,1,1,6.96293211,304,322,315,307,298,319,365,313,276,290,343,274,294,1,2,3,4,5,6,7,8,9,10,11,12,13,7.887134552,18.48451424,28.56367493,0.50582391,0,10.10179043,8.304483414,51.56028366,2220.651123,3.761668444,161.872467,-923.2395576,-197.489323,WhiteTroatedCaracara,20
23,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,60,90,30,NA,120,60,120,240,NA,15,9,2,NA,16,17,17,NA,11,10,11,11,NA,13,11,10,NA,1,1,2,NA,1,3,3,1,NA,3,1,5,5.378419876,NA,343,278,356,NA,285,318,336,250,NA,279,318,345,NA,2,3,4,NA,6,7,8,9,NA,11,12,13,3.561583757,20.23242378,58.55515671,0.017583601,0,3.936258554,3.110756397,34.0578537,2857.018066,-3.953635454,254.436264,-903.2395576,-197.489323,WhiteTroatedCaracara,20
25,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,105,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,8,2.327642918,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,13,13.45685005,83.27354431,4.552893162,11.33927059,0.926465392,11.9161768,2.723006964,66.55580902,1199.223145,-0.825612664,18.75578499,-823.2395576,-197.489323,WhiteTroatedCaracara,20
27,0,0,0,0,0,0,0,0,0,0,0,0,0,180,60,60,60,127,270,30,30,6,10,3,104,80,9,18,0,7,8,9,10,7,15,19,13,11,9,1,2,2,1,3,1,1,9,5,1,1,4,1,2.386490822,16,247,273,281,270,309,294,309,265,280,246,266,271,1,2,3,4,5,6,7,8,9,10,11,12,13,14.70261002,13.23346043,6.713654518,22.96764374,0.644395351,6.009691238,6.37699604,29.66949463,774.987915,0.088037148,46.42146683,-943.2395576,-217.489323,WhiteTroatedCaracara,20
28,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,35,30,20,10,120,120,60,60,248,137,7,48,NA,11,16,19,10,16,12,11,11,13,11,7,11,NA,2,4,2,4,2,2,4,1,4,1,1,1,3.451089859,NA,254,261,300,270,245,275,313,265,279,349,273,307,NA,2,3,4,5,6,7,8,9,10,11,12,13,11.09488487,18.26947975,11.00343418,3.537542105,0.046867386,11.47713089,10.51367664,59.75112152,1667.272339,-4.292395592,178.2029114,-923.2395576,-217.489323,WhiteTroatedCaracara,20
29,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,300,150,15,180,120,120,NA,NA,NA,NA,NA,NA,NA,11,10,12,10,11,10,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,1,2,5.378419876,NA,NA,NA,NA,NA,NA,NA,3,334,38,295,342,301,NA,NA,NA,NA,NA,NA,NA,8,9,10,11,12,13,3.561583757,20.23242378,58.55515671,0.017583601,0,3.936258554,3.110756397,34.0578537,2857.018066,-3.953635454,254.436264,-903.2395576,-217.489323,WhiteTroatedCaracara,20
30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,3.744190216,NA,NA,NA,NA,NA,NA,NA,NA,NA,304,NA,NA,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,13,12.96589088,86.35305786,3.020846367,12.14177799,1.72734642,10.75671959,3.918117523,65.29135895,1262.935303,-1.442825675,34.31072998,-823.2395576,-217.489323,WhiteTroatedCaracara,20
31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,3.744190216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328,NA,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,13,12.96589088,86.35305786,3.020846367,12.14177799,1.72734642,10.75671959,3.918117523,65.29135895,1262.935303,-1.442825675,34.31072998,-803.2395576,-217.489323,WhiteTroatedCaracara,20
32,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,60,NA,NA,30,45,90,30,60,57,43,NA,NA,NA,17,NA,NA,15,13,19,9,17,13,10,NA,NA,NA,1,NA,NA,1,2,3,1,1,1,1,5.525404453,NA,NA,NA,49,NA,NA,318,346,364,325,271,247,281,NA,NA,NA,4,NA,NA,7,8,9,10,11,12,13,14.74807644,13.51369476,3.796839952,35.06620789,1.027336478,7.485992432,13.40244102,33.57175446,843.1142578,-1.407606125,80.84830475,-943.2395576,-237.489323,WhiteTroatedCaracara,20
33,0,0,0,0,0,0,0,0,0,0,0,0,0,60,120,90,120,20,48,10,50,55,10,4,152,167,22,7,16,12,7,7,7,7,6,8,6,6,10,2,3,2,2,3,1,1,1,1,1,1,1,1,8.791234016,23,325,360,250,313,315,315,310,307,291,298,246,266,1,2,3,4,5,6,7,8,9,10,11,12,13,8.608091354,17.90353394,27.533144,3.251690626,0.027964078,9.859091759,11.94077206,44.82404327,2070.148438,0.924949646,176.4991608,-923.2395576,-237.489323,WhiteTroatedCaracara,20
34,0,0,0,0,0,0,0,0,0,0,0,0,0,220,10,23,90,45,16,19,30,4,20,45,85,2,9,10,8,20,14,15,10,10,9,17,17,14,12,4,2,1,2,1,1,1,1,2,1,1,1,1,3.826905251,53,53,267,316,306,315,315,354,301,320,352,262,260,1,2,3,4,5,6,7,8,9,10,11,12,13,5.983212471,21.13485909,44.12146378,1.944002271,0,7.388935089,5.394120693,40.5565834,2529.212891,0.408506572,234.6253967,-903.2395576,-237.489323,WhiteTroatedCaracara,20
37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4.813808441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,11.28036308,78.7359848,5.295761585,1.676151991,0.133883074,9.8150177,1.116295815,81.79901123,1582.759888,-1.903377295,90.55157471,-803.2395576,-237.489323,WhiteTroatedCaracara,20
38,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,120,60,NA,NA,NA,NA,120,38,30,9,240,10,34,9,10,NA,NA,NA,NA,12,14,8,17,9,7,15,1,2,NA,NA,NA,NA,1,1,1,1,1,1,1,4.03362608,324,7,NA,NA,NA,NA,259,356,280,280,257,356,260,1,2,NA,NA,NA,NA,7,8,9,10,11,12,13,15.0245266,13.39920044,3.441946507,34.02281189,1.142178893,8.747579575,13.41508579,32.58069992,918.4204712,-0.345733047,98.81620789,-943.2395576,-257.489323,WhiteTroatedCaracara,20
39,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3.96613121,NA,NA,NA,NA,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,3.720551252,23.62242126,58.02465439,0.14141351,0,4.379530907,2.268119097,34.35338593,2857.143311,3.628456354,248.4139099,-923.2395576,-257.489323,WhiteTroatedCaracara,20
40,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,15,12,25,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,20,18,10,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,4,1,3.96613121,NA,NA,NA,NA,NA,NA,NA,NA,307,NA,9,23,283,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,11,12,13,3.720551252,23.62242126,58.02465439,0.14141351,0,4.379530907,2.268119097,34.35338593,2857.143311,3.628456354,248.4139099,-903.2395576,-257.489323,WhiteTroatedCaracara,20
43,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,2,NA,2.990611315,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,12,NA,8.980911255,67.42463684,5.677901745,0.442874789,0.000392865,9.474304199,0.252359033,84.14764404,2017.127197,-1.926739812,96.76279449,-803.2395576,-257.489323,WhiteTroatedCaracara,20
44,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,80,210,120,NA,NA,NA,NA,NA,NA,52,92,NA,NA,15,12,11,NA,NA,NA,NA,NA,NA,10,16,NA,NA,2,3,2,NA,NA,NA,NA,NA,NA,1,1,2.404504538,NA,NA,41,307,39,NA,NA,NA,NA,NA,NA,282,21,NA,NA,3,4,5,NA,NA,NA,NA,NA,NA,12,13,14.90683556,12.82431698,2.157242775,21.11536217,5.586101532,5.737858772,24.98851967,25.16715622,297.7816467,-0.166572034,21.08621979,-1063.239558,-277.489323,WhiteTroatedCaracara,20
45,NA,0,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,45,NA,NA,NA,30,NA,10,10,32,30,15,25,NA,15,NA,NA,NA,16,NA,20,12,12,10,9,12,NA,2,NA,NA,NA,1,NA,2,1,2,1,1,1,2.476403475,NA,261,NA,NA,NA,331,NA,299,291,351,354,304,358,NA,2,NA,NA,NA,6,NA,8,9,10,11,12,13,16.14584351,14.892766,3.183736801,31.47379494,1.994890094,4.518424988,12.33395576,34.045578,795.3843994,-1.045506835,59.18496704,-943.2395576,-277.489323,WhiteTroatedCaracara,20
46,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,12,130,30,18,NA,NA,NA,NA,NA,NA,NA,NA,10,12,10,8,11,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,8,2,4.817581177,NA,NA,NA,NA,NA,NA,NA,NA,29,363,283,276,362,NA,NA,NA,NA,NA,NA,NA,NA,9,10,11,12,13,7.552871227,20.6892643,51.29835129,0.752460897,0.023300007,5.255578518,5.969819546,36.10940552,2231.569824,0.91694206,152.067688,-923.2395576,-277.489323,WhiteTroatedCaracara,20
49,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2.990611315,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,8.980911255,67.42463684,5.677901745,0.442874789,0.000392865,9.474304199,0.252359033,84.14764404,2017.127197,-1.926739812,96.76279449,-823.2395576,-277.489323,WhiteTroatedCaracara,20
50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2.990611315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,8.980911255,67.42463684,5.677901745,0.442874789,0.000392865,9.474304199,0.252359033,84.14764404,2017.127197,-1.926739812,96.76279449,-803.2395576,-277.489323,WhiteTroatedCaracara,20
51,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,80,NA,NA,NA,NA,NA,NA,190,NA,8,14,NA,NA,13,NA,NA,NA,NA,NA,NA,10,NA,20,10,NA,NA,2,NA,NA,NA,NA,NA,NA,3,NA,1,1,2.404504538,NA,NA,41,NA,NA,NA,NA,NA,NA,244,NA,1,15,NA,NA,3,NA,NA,NA,NA,NA,NA,10,NA,12,13,14.90683556,12.82431698,2.157242775,21.11536217,5.586101532,5.737858772,24.98851967,25.16715622,297.7816467,-0.166572034,21.08621979,-1063.239558,-297.489323,WhiteTroatedCaracara,20
52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.404504538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,14.90683556,12.82431698,2.157242775,21.11536217,5.586101532,5.737858772,24.98851967,25.16715622,297.7816467,-0.166572034,21.08621979,-1043.239558,-297.489323,WhiteTroatedCaracara,20
53,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,5.45442009,NA,NA,NA,NA,NA,NA,NA,360,NA,NA,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,11,NA,NA,14.83516788,19.06173134,5.361690998,26.06969261,0.816112459,7.09352541,16.55378151,33.92722702,888.9174194,-1.645545244,101.4292908,-963.2395576,-297.489323,WhiteTroatedCaracara,20
54,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,10,NA,150,173,62,60,30,34,NA,NA,NA,NA,NA,13,NA,8,11,15,9,11,7,NA,NA,NA,NA,NA,2,NA,3,3,3,2,2,1,NA,5.45442009,NA,NA,NA,NA,10,NA,257,287,247,352,46,304,NA,NA,NA,NA,NA,5,NA,7,8,9,10,11,12,NA,14.83516788,19.06173134,5.361690998,26.06969261,0.816112459,7.09352541,16.55378151,33.92722702,888.9174194,-1.645545244,101.4292908,-943.2395576,-297.489323,WhiteTroatedCaracara,20
55,0,0,0,0,0,0,0,0,0,0,0,0,0,120,40,120,45,60,240,150,39,20,90,27,25,23,10,11,18,10,9,13,9,10,16,9,10,15,8,2,2,2,1,1,3,2,2,2,1,2,1,1,2.670101881,326,21,356,58,311,318,357,364,329,313,280,260,363,1,2,3,4,5,6,7,8,9,10,11,12,13,10.59665108,22.28104782,19.97451401,9.8626194,0.486548424,9.152059555,14.15333271,40.66559982,1674.9646,-1.118135571,181.4817352,-923.2395576,-297.489323,WhiteTroatedCaracara,20
56,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,120,NA,NA,75,180,NA,72,NA,NA,NA,NA,NA,NA,18,NA,NA,10,10,NA,11,NA,NA,NA,NA,NA,NA,2,NA,NA,2,4,NA,1,4.651221275,NA,NA,NA,NA,NA,NA,9,NA,NA,50,19,NA,15,NA,NA,NA,NA,NA,NA,7,NA,NA,10,11,NA,13,1.309715748,26.35889816,71.73893738,0.042524006,0,1.638109326,1.788634419,23.43991852,3207.614502,8.378009796,262.8607788,-903.2395576,-297.489323,WhiteTroatedCaracara,20
60,0,0,0,0,0,0,0,0,0,0,0,0,0,60,90,60,60,25,60,14,180,60,60,27,20,25,17,10,17,12,18,11,19,12,8,8,18,10,17,1,2,1,1,3,1,1,1,1,1,1,2,1,2.464152098,311,296,42,271,270,339,35,363,335,292,291,277,275,1,2,3,4,5,6,7,8,9,10,11,12,13,15.1026268,17.79413223,4.206332207,13.37548447,1.694168806,7.615339279,8.350679398,15.53789425,92.47396088,-0.501868427,14.01820755,-1063.239558,-317.489323,WhiteTroatedCaracara,20
61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2.144191027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,13,14.37718201,16.8559761,2.958645105,19.50984955,4.196875572,7.729659557,15.37402821,17.11423302,310.5307312,0.80147332,34.63877487,-1043.239558,-317.489323,WhiteTroatedCaracara,20
